City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
127,Qaanaaq,GL,2022-01-28 01:19:16,77.484,-69.3632,-10.03,71,31,7.56
128,Mantua,IT,2022-01-28 01:19:17,45.1667,10.7833,39.43,92,71,7.0
129,Yaan,NG,2022-01-28 01:19:17,7.3833,8.5667,76.44,21,2,6.6
130,Chokurdakh,RU,2022-01-28 01:19:18,70.6333,147.9167,-24.66,91,57,9.57
131,Kabinda,CD,2022-01-28 01:19:19,-6.1333,24.4833,64.15,96,100,2.57
132,Asyut,EG,2022-01-28 01:19:20,27.181,31.1837,44.44,61,6,6.64
133,Leningradskiy,RU,2022-01-28 01:20:10,69.3833,178.4167,-17.75,95,25,2.3
134,Seoul,KR,2022-01-28 01:19:56,37.5683,126.9778,27.97,50,0,6.91
135,Assare,BR,2022-01-28 01:20:22,-6.8744,-39.875,71.24,83,100,2.17
136,Castro,BR,2022-01-28 01:20:23,-24.7911,-50.0119,65.62,96,100,3.15
137,Ryotsu,JP,2022-01-28 01:20:24,38.0833,138.4333,39.16,60,61,18.25
138,Pevek,RU,2022-01-28 01:20:25,69.7008,170.3133,-26.66,99,27,2.98
139,Panzhihua,CN,2022-01-28 01:20:26,26.5851,101.7128,47.52,80,1,1.92
140,Hohhot,CN,2022-01-28 01:20:27,40.8106,111.6522,5.29,61,0,6.71
141,Sioux Lookout,CA,2022-01-28 01:20:28,50.1001,-91.917,-5.42,84,0,3.44
142,Smirnykh,RU,2022-01-28 01:20:29,49.75,142.8333,4.17,77,100,3.15
143,Tuktoyaktuk,CA,2022-01-28 01:20:30,69.4541,-133.0374,-18.4,76,20,11.5
144,Khilok,RU,2022-01-28 01:20:30,51.3674,110.4676,-14.1,99,51,2.01
145,Olinda,BR,2022-01-28 01:20:31,-8.0089,-34.8553,82.13,74,20,3.44
146,Coihaique,CL,2022-01-28 01:20:32,-45.5752,-72.0662,73.35,35,0,5.75
147,Kapaa,US,2022-01-28 01:20:30,22.0752,-159.319,80.58,67,0,1.01
148,Lagoa,PT,2022-01-28 01:20:33,39.05,-27.9833,59.13,74,3,15.75
149,Naze,JP,2022-01-28 01:20:34,28.3667,129.4833,59.92,78,91,10.4
150,Acarau,BR,2022-01-28 01:16:32,-2.8856,-40.12,76.23,86,100,8.21
151,Cherskiy,RU,2022-01-28 01:20:35,68.75,161.3,-34.96,96,28,1.41
152,Bolivar,US,2022-01-28 01:20:36,37.6145,-93.4105,37.09,64,94,7.74
153,Pundaguitan,PH,2022-01-28 01:20:36,6.3711,126.1689,81.75,76,23,11.23
154,Xining,CN,2022-01-28 01:20:37,36.6167,101.7667,14.31,92,100,0.96
155,Maragogi,BR,2022-01-28 01:20:38,-9.0122,-35.2225,78.28,81,82,5.41
156,Imbituba,BR,2022-01-28 01:20:39,-28.24,-48.6703,75.09,84,100,14.25
157,Shushenskoye,RU,2022-01-28 01:20:40,53.325,91.9356,-6.12,100,100,1.74
158,Koulikoro,ML,2022-01-28 01:20:40,14.0,-7.75,70.39,12,0,8.41
159,Kapuskasing,CA,2022-01-28 01:20:41,49.4169,-82.4331,-9.31,76,0,4.61
160,Ancud,CL,2022-01-28 01:20:42,-41.8697,-73.8203,69.33,84,0,2.95
161,Aksarka,RU,2022-01-28 01:20:42,66.5606,67.7975,-1.88,98,100,3.27
162,Maldonado,UY,2022-01-28 01:20:44,-34.6667,-54.9167,64.22,63,97,3.91
163,General Roca,AR,2022-01-28 01:20:44,-39.0333,-67.5833,81.0,23,0,14.85
164,Kota Kinabalu,MY,2022-01-28 01:20:45,5.9749,116.0724,80.58,83,20,2.3
165,Thompson,CA,2022-01-28 01:20:46,55.7435,-97.8558,-7.6,94,61,6.42
166,Kloulklubed,PW,2022-01-28 01:20:47,7.0419,134.2556,81.1,77,20,14.09
167,Mount Gambier,AU,2022-01-28 01:20:47,-37.8333,140.7667,76.01,52,0,6.49
168,Takoradi,GH,2022-01-28 01:20:48,4.8845,-1.7554,78.64,84,17,4.99
169,Lodwar,KE,2022-01-28 01:20:49,3.1191,35.5973,79.9,43,52,2.39
170,Ponferrada,ES,2022-01-28 01:20:50,42.5466,-6.5962,43.11,42,0,1.01
